Serial,Course,Section,Faculty,Time,Room,Seat Availability
1494,EEE141/ETE141,1,mtn,ST 11:20 AM - 12:50 PM,SAC310,0
1495,EEE141/ETE141,2,mtn,MW 09:40 AM - 11:10 AM,SAC310,0
1496,EEE141/ETE141,3,KAS,MW 09:40 AM - 11:10 AM,SAC511,0
1497,EEE141/ETE141,4,KMM,ST 08:00 AM - 09:30 AM,SAC307,0
1498,EEE141/ETE141,5,KMM,MW 08:00 AM - 09:30 AM,SAC307,0
1499,EEE141/ETE141,6,NaNr,ST 09:40 AM - 11:10 AM,SAC511,0
1500,EEE141/ETE141,7,AJH,ST 09:40 AM - 11:10 AM,SAC204,0
1501,EEE141/ETE141,8,LIh,RA 09:40 AM - 11:10 AM,SAC511,0
1502,EEE141/ETE141,9,AbO,MW 09:40 AM - 11:10 AM,NAC311,0
1503,EEE141/ETE141,10,ABO,MW 02:40 PM - 04:10 PM,SAC210,0
1504,EEE141/ETE141,11,SSH1,MW 11:20 AM - 12:50 PM,SAC511,0
1505,EEE141/ETE141,12,SSH1,MW 01:00 PM - 02:30 PM,SAC309,0
1506,EEE141/ETE141,13,Mkl,ST 11:20 AM - 12:50 PM,NAC311,0
1507,EEE141/ETE141,14,MJRD,RA 02:40 PM - 04:10 PM,SAC308,0
1508,EEE141/ETE141,15,AKAZ,RA 08:00 AM - 09:30 AM,SAC209,0
1509,EEE141/ETE141,16,TBA,RA 08:00 AM - 09:30 AM,NAC619,0
1510,EEE141/ETE141,17,TBA,RA 08:00 AM - 09:30 AM,NAC209,0
1511,EEE141/ETE141,18,TBA,RA 09:40 AM - 11:10 AM,NAC990,0
1512,EEE141/ETE141,19,TBA,RA 11:20 AM - 12:50 PM,NAC990,0
1513,EEE141/ETE141,20,AyH,RA 09:40 AM - 11:10 AM,SAC309,0
1514,EEE141/ETE141,21,NaNr,ST 08:00 AM - 09:30 AM,SAC801A,0